,stim_weight,stim_n,subj_idx,response,rt,condition
0,-47.26530504,1.995643939,968634301,0.0,-2.0710000000000184,0
1,-44.93197171,-2.0043560609999997,657894484,0.0,-1.7019999999999984,0
2,-42.84863837,-3.004356061,657894484,0.0,-2.5480000000000014,0
3,-41.93197171,-2.0043560609999997,97123322,0.0,-1.1329999999999971,0
4,-41.26530504,-2.0043560609999997,904039471,0.0,-1.0650000000000002,0
5,-40.59863837,1.995643939,961875421,0.0,-2.1200000000000006,0
6,-40.09863837,-0.004356061,933260573,1.0,2.129000000000009,0
7,-38.59863837,-2.0043560609999997,218675715,0.0,-1.594000000000015,0
8,-37.59863837,-2.0043560609999997,351777009,1.0,1.0,0
9,-34.93197171,1.995643939,657894484,1.0,2.1570000000000116,0
10,-34.49863837,-3.004356061,504663288,0.0,-6.5920000000000645,0
11,-34.34863837,1.995643939,294041592,1.0,5.2100000000000275,0
12,-34.26530504,1.995643939,904039471,1.0,1.0819999999999945,0
13,-34.26530504,1.995643939,968634301,0.0,-1.6920000000000055,0
14,-34.09863837,1.995643939,294041592,0.0,-10.97400000000009,0
15,-33.93197171,-2.0043560609999997,97123322,0.0,-1.089000000000002,0
16,-33.84863837,-0.004356061,294041592,1.0,7.349999999999939,0
17,-33.59863837,-1.004356061,657894484,0.0,-3.124000000000019,0
18,-33.59863837,3.995643939,657894484,1.0,4.567000000000006,0
19,-33.09863837,-2.0043560609999997,218675715,0.0,-4.493999999999984,0
20,-32.59863837,-2.0043560609999997,278773301,1.0,1.6649999999999916,0
21,-32.59863837,1.995643939,628308431,0.0,-1.4850000000000112,0
22,-32.09863837,-1.004356061,657894484,0.0,-3.0560000000000245,0
23,-31.93197171,-1.004356061,504663288,0.0,-3.0009999999999812,0
24,-31.59863837,-0.004356061,504663288,0.0,-4.278000000000008,0
25,-31.59863837,1.995643939,968634301,1.0,1.9049999999999805,0
26,-31.26530504,-2.0043560609999997,923162466,0.0,-1.9550000000000167,0
27,-31.09863837,-0.004356061,626227255,0.0,-1.952999999999982,0
28,-30.93197171,1.995643939,97123322,0.0,-1.0,0
29,-30.93197171,1.995643939,968634301,0.0,-2.123000000000021,0
30,-30.59863837,-0.004356061,192065971,1.0,1.818999999999986,0
31,-30.59863837,-0.004356061,657894484,0.0,-4.231000000000002,0
32,-30.59863837,0.995643939,350745134,1.0,2.888999999999976,0
